Field Name,Field Title,Alt Piece Names,Classic Type,Data Type,Definition,Description,Notes,Index Field
class,,ORGANIZATION-CLASS,TEXT,enum AgencyClass (stats),,,,protocolSection.identificationModule.organization.class
OrgClass,,,,,,,,/Study/ProtocolSection/IdentificationModule/Organization/OrgClass
statusModule,,,STRUCT,StatusModule,Study Status,,,protocolSection.statusModule
StatusModule,,,,,,,,/Study/ProtocolSection/StatusModule
statusVerifiedDate,,VERIFICATION-DATE,DATE,PartialDate (stats),Record Verification Date,,,protocolSection.statusModule.statusVerifiedDate
StatusVerifiedDate,,,,,,,,/Study/ProtocolSection/StatusModule/StatusVerifiedDate
overallStatus,,OVERALL-STATUS,TEXT,enum Status (stats),Overall Recruitment Status,,,protocolSection.statusModule.overallStatus
OverallStatus,,,,,,,,/Study/ProtocolSection/StatusModule/OverallStatus
lastKnownStatus,,LAST-KNOWN-STATUS,TEXT,enum Status (stats),,,,protocolSection.statusModule.lastKnownStatus
LastKnownStatus,,,,,,,,/Study/ProtocolSection/StatusModule/LastKnownStatus
delayedPosting,,DELAYED,BOOLEAN,boolean (stats),Post Prior to U.S. FDA Approval or Clearance,,,protocolSection.statusModule.delayedPosting
DelayedPosting,,,,,,,,/Study/ProtocolSection/StatusModule/DelayedPosting
whyStopped,,WHY-STOPPED,MARKUP,markup ✓ (stats),Why Study Stopped,,,protocolSection.statusModule.whyStopped
WhyStopped,,,,,,,,/Study/ProtocolSection/StatusModule/WhyStopped
expandedAccessInfo,,,STRUCT,ExpandedAccessInfo,,,,protocolSection.statusModule.expandedAccessInfo
ExpandedAccessInfo,,,,,,,,/Study/ProtocolSection/StatusModule/ExpandedAccessInfo
hasExpandedAccess,,HAS-EXPANDED-ACCESS,TEXT,boolean (stats),Availability of Expanded Access,,,protocolSection.statusModule.expandedAccessInfo.hasExpandedAccess
HasExpandedAccess,,,,,,,,/Study/ProtocolSection/StatusModule/ExpandedAccessInfo/HasExpandedAccess
nctId,,HAS-EXPANDED-ACCESS-NCT,TEXT,text ✓ (stats),Expanded Access Record NCT Number,,,protocolSection.statusModule.expandedAccessInfo.nctId
ExpandedAccessNCTId,,,,,,,,/Study/ProtocolSection/StatusModule/ExpandedAccessInfo/ExpandedAccessNCTId
statusForNctId,,,TEXT,enum ExpandedAccessStatus (stats),,,,protocolSection.statusModule.expandedAccessInfo.statusForNctId
ExpandedAccessStatusForNCTId,,,,,,,,/Study/ProtocolSection/StatusModule/ExpandedAccessInfo/ExpandedAccessStatusForNCTId
startDateStruct,,,STRUCT,PartialDateStruct,,,,protocolSection.statusModule.startDateStruct
StartDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/StartDateStruct
date,,START-DATE,DATE,PartialDate (stats),Study Start Date,,,protocolSection.statusModule.startDateStruct.date
StartDate,,,,,,,,/Study/ProtocolSection/StatusModule/StartDateStruct/StartDate
type,,,TEXT,enum DateType (stats),,,,protocolSection.statusModule.startDateStruct.type
StartDateType,,,,,,,,/Study/ProtocolSection/StatusModule/StartDateStruct/StartDateType
primaryCompletionDateStruct,,,STRUCT,PartialDateStruct,,,,protocolSection.statusModule.primaryCompletionDateStruct
PrimaryCompletionDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/PrimaryCompletionDateStruct
date,,COMPLETION-DATE-PRIMARY,DATE,PartialDate (stats),Primary Completion Date,,,protocolSection.statusModule.primaryCompletionDateStruct.date
PrimaryCompletionDate,,,,,,,,/Study/ProtocolSection/StatusModule/PrimaryCompletionDateStruct/PrimaryCompletionDate
type,,,TEXT,enum DateType (stats),Primary Completion Date,,,protocolSection.statusModule.primaryCompletionDateStruct.type
PrimaryCompletionDateType,,,,,,,,/Study/ProtocolSection/StatusModule/PrimaryCompletionDateStruct/PrimaryCompletionDateType
completionDateStruct,,,STRUCT,PartialDateStruct,,,,protocolSection.statusModule.completionDateStruct
CompletionDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/CompletionDateStruct
date,,COMPLETION-DATE,DATE,PartialDate (stats),Study Completion Date,,,protocolSection.statusModule.completionDateStruct.date
CompletionDate,,,,,,,,/Study/ProtocolSection/StatusModule/CompletionDateStruct/CompletionDate
type,,,TEXT,enum DateType (stats),Study Completion Date,,,protocolSection.statusModule.completionDateStruct.type
CompletionDateType,,,,,,,,/Study/ProtocolSection/StatusModule/CompletionDateStruct/CompletionDateType
studyFirstSubmitDate,,STUDY-FIRST-SUBMITTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.studyFirstSubmitDate
StudyFirstSubmitDate,,FIRST-RECEIVED-DATE,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstSubmitDate
studyFirstSubmitYear ✗,,,FUNC MinYear(StudyFirstSubmitDate),short (stats),,,,protocolSection.statusModule.studyFirstSubmitYear
StudyFirstSubmitYear,,,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstSubmitYear
studyFirstSubmitQcDate,,STUDY-FIRST-SUBMITTED-QC,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.studyFirstSubmitQcDate
StudyFirstSubmitQCDate,,,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstSubmitQCDate
studyFirstPostDateStruct,,,STRUCT,DateStruct,,,,protocolSection.statusModule.studyFirstPostDateStruct
StudyFirstPostDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstPostDateStruct
date,,STUDY-FIRST-POSTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.studyFirstPostDateStruct.date
StudyFirstPostDate,,,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstPostDateStruct/StudyFirstPostDate
studyFirstPostYear ✗,,,FUNC MinYear(StudyFirstPostDate),short (stats),,,,protocolSection.statusModule.studyFirstPostDateStruct.studyFirstPostYear
StudyFirstPostYear,,,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstPostDateStruct/StudyFirstPostYear
type,,,TEXT,enum DateType (stats),,,,protocolSection.statusModule.studyFirstPostDateStruct.type
StudyFirstPostDateType,,,,,,,,/Study/ProtocolSection/StatusModule/StudyFirstPostDateStruct/StudyFirstPostDateType
resultsWaived,,,BOOLEAN,boolean (stats),,,,protocolSection.statusModule.resultsWaived
ResultsWaived,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsWaived
resultsFirstSubmitDate,Results First Submitted Date,RESULTS-FIRST-SUBMITTED,DATE,NormalizedDate (stats),,The date on which the study sponsor or investigator first submits a study record with summary results information. There is typically a delay between the results first submitted date and when summary results information becomes available on ClinicalTrials.gov (the results first posted date).,System generated,protocolSection.statusModule.resultsFirstSubmitDate
ResultsFirstSubmitDate,,FIRST-RECEIVED-RESULTS-DATE,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstSubmitDate
resultsFirstSubmitYear ✗,,,FUNC MinYear(ResultsFirstSubmitDate),short (stats),,,,protocolSection.statusModule.resultsFirstSubmitYear
ResultsFirstSubmitYear,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstSubmitYear
resultsFirstSubmitQcDate,,RESULTS-FIRST-SUBMITTED-QC,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.resultsFirstSubmitQcDate
ResultsFirstSubmitQCDate,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstSubmitQCDate
resultsFirstPostDateStruct,,,STRUCT,DateStruct,,,,protocolSection.statusModule.resultsFirstPostDateStruct
ResultsFirstPostDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstPostDateStruct
date,,RESULTS-FIRST-POSTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.resultsFirstPostDateStruct.date
ResultsFirstPostDate,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstPostDateStruct/ResultsFirstPostDate
resultsFirstPostYear ✗,,,FUNC MinYear(ResultsFirstPostDate),short (stats),,,,protocolSection.statusModule.resultsFirstPostDateStruct.resultsFirstPostYear
ResultsFirstPostYear,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstPostDateStruct/ResultsFirstPostYear
type,,,TEXT,enum DateType (stats),,,,protocolSection.statusModule.resultsFirstPostDateStruct.type
ResultsFirstPostDateType,,,,,,,,/Study/ProtocolSection/StatusModule/ResultsFirstPostDateStruct/ResultsFirstPostDateType
dispFirstSubmitDate,,DISPOSITION-FIRST-SUBMITTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.dispFirstSubmitDate
DispFirstSubmitDate,,FIRST-RECEIVED-DISPOSITION-DATE,,,,,,/Study/ProtocolSection/StatusModule/DispFirstSubmitDate
dispFirstSubmitYear ✗,,,FUNC MinYear(DispFirstSubmitDate),short (stats),,,,protocolSection.statusModule.dispFirstSubmitYear
DispFirstSubmitYear,,,,,,,,/Study/ProtocolSection/StatusModule/DispFirstSubmitYear
dispFirstSubmitQcDate,,DISPOSITION-FIRST-SUBMITTED-QC,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.dispFirstSubmitQcDate
DispFirstSubmitQCDate,,,,,,,,/Study/ProtocolSection/StatusModule/DispFirstSubmitQCDate
dispFirstPostDateStruct,,,STRUCT,DateStruct,,,,protocolSection.statusModule.dispFirstPostDateStruct
DispFirstPostDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/DispFirstPostDateStruct
date,,DISPOSITION-FIRST-POSTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.dispFirstPostDateStruct.date
DispFirstPostDate,,,,,,,,/Study/ProtocolSection/StatusModule/DispFirstPostDateStruct/DispFirstPostDate
dispFirstPostYear ✗,,,FUNC MinYear(DispFirstPostDate),short (stats),,,,protocolSection.statusModule.dispFirstPostDateStruct.dispFirstPostYear
DispFirstPostYear,,,,,,,,/Study/ProtocolSection/StatusModule/DispFirstPostDateStruct/DispFirstPostYear
type,,,TEXT,enum DateType (stats),,,,protocolSection.statusModule.dispFirstPostDateStruct.type
DispFirstPostDateType,,,,,,,,/Study/ProtocolSection/StatusModule/DispFirstPostDateStruct/DispFirstPostDateType
lastUpdateSubmitDate,,LAST-UPDATE-SUBMITTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.lastUpdateSubmitDate
LastUpdateSubmitDate,,LAST-RELEASE-DATE,,,,,,/Study/ProtocolSection/StatusModule/LastUpdateSubmitDate
lastUpdateSubmitYear ✗,,,FUNC MinYear(LastUpdateSubmitDate),short (stats),,,,protocolSection.statusModule.lastUpdateSubmitYear
LastUpdateSubmitYear,,,,,,,,/Study/ProtocolSection/StatusModule/LastUpdateSubmitYear
lastUpdatePostDateStruct,,,STRUCT,DateStruct,,,,protocolSection.statusModule.lastUpdatePostDateStruct
LastUpdatePostDateStruct,,,,,,,,/Study/ProtocolSection/StatusModule/LastUpdatePostDateStruct
date,,LAST-UPDATE-POSTED,DATE,NormalizedDate (stats),,,,protocolSection.statusModule.lastUpdatePostDateStruct.date
LastUpdatePostDate,,,,,,,,/Study/ProtocolSection/StatusModule/LastUpdatePostDateStruct/LastUpdatePostDate
lastUpdatePostYear ✗,,,FUNC MinYear(LastUpdatePostDate),short (stats),,,,protocolSection.statusModule.lastUpdatePostDateStruct.lastUpdatePostYear
LastUpdatePostYear,,,,,,,,/Study/ProtocolSection/StatusModule/LastUpdatePostDateStruct/LastUpdatePostYear
type,,,TEXT,enum DateType (stats),,,,protocolSection.statusModule.lastUpdatePostDateStruct.type
LastUpdatePostDateType,,,,,,,,/Study/ProtocolSection/StatusModule/LastUpdatePostDateStruct/LastUpdatePostDateType
sponsorCollaboratorsModule,,,STRUCT,SponsorCollaboratorsModule,Sponsor/Collaborators,,,protocolSection.sponsorCollaboratorsModule
SponsorCollaboratorsModule,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule
responsibleParty,,,STRUCT,ResponsibleParty,Investigator Information,,,protocolSection.sponsorCollaboratorsModule.responsibleParty
ResponsibleParty,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty
type,,RESPONSIBLE-PARTY-TYPE,TEXT,enum ResponsiblePartyType (stats),"Responsible Party, by Official Title",,,protocolSection.sponsorCollaboratorsModule.responsibleParty.type
ResponsiblePartyType,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty/ResponsiblePartyType
investigatorFullName,,,TEXT,text ✓ (stats),Investigator Name,,,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName
ResponsiblePartyInvestigatorFullName,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty/ResponsiblePartyInvestigatorFullName
investigatorTitle,,,TEXT,text ✓ (stats),Investigator Official Title,,,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorTitle
ResponsiblePartyInvestigatorTitle,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty/ResponsiblePartyInvestigatorTitle
investigatorAffiliation,,,TEXT,text ✓ (stats),Investigator Affiliation,,,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorAffiliation
ResponsiblePartyInvestigatorAffiliation,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty/ResponsiblePartyInvestigatorAffiliation
oldNameTitle,,,TEXT,text ✓ (stats),Investigator Name,,,protocolSection.sponsorCollaboratorsModule.responsibleParty.oldNameTitle
ResponsiblePartyOldNameTitle,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty/ResponsiblePartyOldNameTitle
oldOrganization,,,TEXT,text ✓ (stats),Investigator Affiliation,,,protocolSection.sponsorCollaboratorsModule.responsibleParty.oldOrganization
ResponsiblePartyOldOrganization,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/ResponsibleParty/ResponsiblePartyOldOrganization
leadSponsor,,,STRUCT,Sponsor,,,,protocolSection.sponsorCollaboratorsModule.leadSponsor
LeadSponsor,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/LeadSponsor
name,,SPONSOR,TEXT,text (stats),Name of the Sponsor,,,protocolSection.sponsorCollaboratorsModule.leadSponsor.name
LeadSponsorName,,LEAD-SPONSOR,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/LeadSponsor/LeadSponsorName
class,,LEAD-SPONSOR-CLASS,TEXT,enum AgencyClass (stats),,,,protocolSection.sponsorCollaboratorsModule.leadSponsor.class
LeadSponsorClass,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/LeadSponsor/LeadSponsorClass
collaborators,,,STRUCT,Sponsor[],,,,protocolSection.sponsorCollaboratorsModule.collaborators
Collaborator,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/CollaboratorList/Collaborator
name,,COLLABORATOR,TEXT,text (stats),Collaborators,,,protocolSection.sponsorCollaboratorsModule.collaborators.name
CollaboratorName,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/CollaboratorList/Collaborator/CollaboratorName
class,,COLLABORATOR-CLASS,TEXT,enum AgencyClass (stats),,,,protocolSection.sponsorCollaboratorsModule.collaborators.class
CollaboratorClass,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/CollaboratorList/Collaborator/CollaboratorClass
numCollaborators ✗,,,FUNC NOccrs(Collaborator),short (stats),,,,protocolSection.sponsorCollaboratorsModule.numCollaborators
NumCollaborators,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/NumCollaborators
numCollaboratorsPlusLead ✗,,,"FUNC NOccrs(LeadSponsor, Collaborator)",short (stats),,,,protocolSection.sponsorCollaboratorsModule.numCollaboratorsPlusLead
NumCollaboratorsPlusLead,,,,,,,,/Study/ProtocolSection/SponsorCollaboratorsModule/NumCollaboratorsPlusLead
oversightModule,,,STRUCT,OversightModule,Oversight,,,protocolSection.oversightModule
OversightModule,,,,,,,,/Study/ProtocolSection/OversightModule
oversightHasDmc,,HAS-DMC,BOOLEAN,boolean (stats),Data Monitoring Committee,,,protocolSection.oversightModule.oversightHasDmc
OversightHasDMC,,,,,,,,/Study/ProtocolSection/OversightModule/OversightHasDMC
isFdaRegulatedDrug,,,BOOLEAN,boolean (stats),Studies a U.S. FDA-regulated Drug Product,,,protocolSection.oversightModule.isFdaRegulatedDrug
IsFDARegulatedDrug,,,,,,,,/Study/ProtocolSection/OversightModule/IsFDARegulatedDrug
isFdaRegulatedDevice,,,BOOLEAN,boolean (stats),Studies a U.S. FDA-regulated Device Product,,,protocolSection.oversightModule.isFdaRegulatedDevice
IsFDARegulatedDevice,,,,,,,,/Study/ProtocolSection/OversightModule/IsFDARegulatedDevice
isUnapprovedDevice,,,BOOLEAN,boolean (stats),Device Product Not Approved or Cleared by U.S. FDA,,,protocolSection.oversightModule.isUnapprovedDevice
IsUnapprovedDevice,,,,,,,,/Study/ProtocolSection/OversightModule/IsUnapprovedDevice
isPpsd,,,BOOLEAN,boolean (stats),Pediatric Postmarket Surveillance of a Device Product,,,protocolSection.oversightModule.isPpsd
IsPPSD,,,,,,,,/Study/ProtocolSection/OversightModule/IsPPSD
isUsExport,,,BOOLEAN,boolean (stats),Product Manufactured in and Exported from the U.S.,,,protocolSection.oversightModule.isUsExport
IsUSExport,,,,,,,,/Study/ProtocolSection/OversightModule/IsUSExport
fdaaa801Violation,,,BOOLEAN,boolean (stats),,,,protocolSection.oversightModule.fdaaa801Violation
FDAAA801Violation,,,,,,,,/Study/ProtocolSection/OversightModule/FDAAA801Violation
descriptionModule,,,STRUCT,DescriptionModule,Study Description,,,protocolSection.descriptionModule
DescriptionModule,,,,,,,,/Study/ProtocolSection/DescriptionModule
briefSummary,,,MARKUP,markup ✓ (stats),Brief Summary,,,protocolSection.descriptionModule.briefSummary
BriefSummary,,,,,,,,/Study/ProtocolSection/DescriptionModule/BriefSummary
detailedDescription,,,MARKUP,markup ✓ (stats),Detailed Description,,,protocolSection.descriptionModule.detailedDescription
DetailedDescription,,,,,,,,/Study/ProtocolSection/DescriptionModule/DetailedDescription
conditionsModule,,,STRUCT,ConditionsModule,Conditions and Keywords,,,protocolSection.conditionsModule
ConditionsModule,,,,,,,,/Study/ProtocolSection/ConditionsModule
conditions,,CONDITIONS,TEXT,text[] ✓ (stats),"Primary Disease or Condition Being Studied in the Trial, or the Focus of the Study",,,protocolSection.conditionsModule.conditions
Condition,,,,,,,,/Study/ProtocolSection/ConditionsModule/ConditionList/Condition
numConditions ✗,,NUMBER-OF-CONDITIONS,FUNC NOccrs(Condition),short (stats),,,,protocolSection.conditionsModule.numConditions
NumConditions,,,,,,,,/Study/ProtocolSection/ConditionsModule/NumConditions
keywords,,KEYWORDS,TEXT,text[] ✓ (stats),Keywords,,,protocolSection.conditionsModule.keywords
Keyword,,,,,,,,/Study/ProtocolSection/ConditionsModule/KeywordList/Keyword
numKeywords ✗,,NUMBER-OF-KEYWORDS,FUNC NOccrs(Keyword),short (stats),,,,protocolSection.conditionsModule.numKeywords
NumKeywords,,,,,,,,/Study/ProtocolSection/ConditionsModule/NumKeywords
designModule,,,STRUCT,DesignModule,Study Design,,,protocolSection.designModule
DesignModule,,,,,,,,/Study/ProtocolSection/DesignModule
studyType,,STUDY-TYPE,TEXT,enum StudyType (stats),Study Type,,,protocolSection.designModule.studyType
StudyType,,STUDY-TYPES,,,,,,/Study/ProtocolSection/DesignModule/StudyType
nPtrsToThisExpAccNctId,,,NUMERIC,number (stats),,,,protocolSection.designModule.nPtrsToThisExpAccNctId
NPtrsToThisExpAccNCTId,,,,,,,,/Study/ProtocolSection/DesignModule/NPtrsToThisExpAccNCTId
expandedAccessTypes,,,STRUCT,ExpandedAccessTypes,,,,protocolSection.designModule.expandedAccessTypes
ExpandedAccessTypes,,,,,,,,/Study/ProtocolSection/DesignModule/ExpandedAccessTypes
individual,,,BOOLEAN,boolean (stats),,,,protocolSection.designModule.expandedAccessTypes.individual
ExpAccTypeIndividual,,,,,,,,/Study/ProtocolSection/DesignModule/ExpandedAccessTypes/ExpAccTypeIndividual
intermediate,,,BOOLEAN,boolean (stats),,,,protocolSection.designModule.expandedAccessTypes.intermediate
ExpAccTypeIntermediate,,,,,,,,/Study/ProtocolSection/DesignModule/ExpandedAccessTypes/ExpAccTypeIntermediate
treatment,,,BOOLEAN,boolean (stats),,,,protocolSection.designModule.expandedAccessTypes.treatment
ExpAccTypeTreatment,,,,,,,,/Study/ProtocolSection/DesignModule/ExpandedAccessTypes/ExpAccTypeTreatment
patientRegistry,,PATIENT-REGISTRY,BOOLEAN,boolean (stats),,,,protocolSection.designModule.patientRegistry
PatientRegistry,,,,,,,,/Study/ProtocolSection/DesignModule/PatientRegistry
targetDuration,,,TIME,NormalizedTime (stats),Target Follow-Up Duration,,,protocolSection.designModule.targetDuration
TargetDuration,,,,,,,,/Study/ProtocolSection/DesignModule/TargetDuration
phases,,PHASE,TEXT,enum Phase[] (stats),Study Phase,,,protocolSection.designModule.phases
Phase,,,,,,,,/Study/ProtocolSection/DesignModule/PhaseList/Phase
numPhases ✗,,,FUNC NOccrs(Phase),short (stats),,,,protocolSection.designModule.numPhases
NumPhases,,,,,,,,/Study/ProtocolSection/DesignModule/NumPhases
designInfo,,,STRUCT,DesignInfo,Interventional Study Design,,,protocolSection.designModule.designInfo
DesignInfo,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo
allocation,,DESIGN-ALLOCATION,TEXT,enum DesignAllocation (stats),Allocation,,,protocolSection.designModule.designInfo.allocation
DesignAllocation,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignAllocation
interventionModel,,DESIGN-INTERVENTION-MODEL,TEXT,enum InterventionalAssignment (stats),Interventional Study Model,,,protocolSection.designModule.designInfo.interventionModel
DesignInterventionModel,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignInterventionModel
interventionModelDescription,,DESIGN-INTERVENTION-MODEL-DESCRIPTION,MARKUP,markup ✓ (stats),Model Description,,,protocolSection.designModule.designInfo.interventionModelDescription
DesignInterventionModelDescription,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignInterventionModelDescription
primaryPurpose,,DESIGN-PRIMARY-PURPOSE,TEXT,enum PrimaryPurpose (stats),Primary Purpose,,,protocolSection.designModule.designInfo.primaryPurpose
DesignPrimaryPurpose,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignPrimaryPurpose
observationalModel,,DESIGN-OBSERVATIONAL-MODEL,TEXT,enum ObservationalModel (stats),Observational Study Model,,,protocolSection.designModule.designInfo.observationalModel
DesignObservationalModel,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignObservationalModel
timePerspective,,DESIGN-TIME-PERSPECTIVE,TEXT,enum DesignTimePerspective (stats),Time Perspective,,,protocolSection.designModule.designInfo.timePerspective
DesignTimePerspective,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignTimePerspective
maskingInfo,,,STRUCT,MaskingBlock,,,,protocolSection.designModule.designInfo.maskingInfo
DesignMaskingInfo,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignMaskingInfo
masking,,DESIGN-MASKING,TEXT,enum DesignMasking (stats),Masking,,,protocolSection.designModule.designInfo.maskingInfo.masking
DesignMasking,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignMaskingInfo/DesignMasking
maskingDescription,,,MARKUP,markup ✓ (stats),Masking Description,,,protocolSection.designModule.designInfo.maskingInfo.maskingDescription
DesignMaskingDescription,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignMaskingInfo/DesignMaskingDescription
