,ID,Sentence,disease
42,43,Eligibility criteria for receiving the intervention in the feasibility study,{''}
43,44,Cases,{''}
44,45,Adult patients underwent surgical intervention for arthromyolysis according to Judet with modified surgical technique for knee stiffness from January 2008 to December 2019.,"{'art ##hr ##omy ##oly, knee stiff ##ness'}"
45,46,Subject eligible for enrolment in the study and treatment for benralizumab according to the specific Russian label and in line with reimbursement condition must meet all the following criteria,{''}
46,47,"Provide written informed consent, signed, and dated by the participant and study partner, or by the participant's legally authorized representative if applicable, according to local regulations for the ICF and, if applicable, country specific ICFs.",{''}
47,48,years of age or older,{''}
48,49,"Patients must be enrolled or agree to consent to the companion genomic profiling study MSKCC IRB# 12-245 Part A. Results are not required prior to initiating treatment on protocol, unless patients do not have other test results by IHC or FISH confirming HER2 overexpression.",{''}
49,50,"Complained of neck pain during work for at least 3 months,",{'neck pain'}
50,51,Patient aged ≥ 18 years,{''}
51,52,age 65 or older,{''}
52,54,Aged 18 years or older,{''}
53,55,"Being a 2nd year student at the Faculty of Nursing,",{''}
54,56,"Veterans are currently enrolled in or within 6 weeks of discharge from (as relevant) a VA San Diego Healthcare System (VASDHS) psychosocial rehabilitation and recovery center (PRRC), VASDHS mental health residential rehabilitation treatment program (RRTP), VASDHS acute inpatient hospitalization or VASDHS outpatient mental health treatment",{'mental'}
55,57,Subjects who are ≥18 years of age or legal age in host country and have been identified as a candidate for a Portico™ valve implant,{''}
56,58,"All patients must have a pathologically documented, definite diagnosis of epithelial cancer of the ovary, the fallopian tube or the peritoneum","{'e ##pit ##hel ##ial cancer of the o ##vary , fall ##op ##ian tube'}"
57,59,for Both Stages,{''}
58,60,Subject volunteered to participate in the study and signed an informed consent;,{''}
59,61,all adult patients,{''}
60,62,Patients aged 19 years to 89 years with diabetes mellitus,{'diabetes me ##lli ##tus'}
61,63,"Histologically confirmed, non-muscle invasive urothelial carcinoma with carcinoma in situ (CIS) (with or without papillary disease)","{'non - muscle invasive u ##roth ##eli ##al car ##cin ##oma, car, ##cin ##oma in sit ##u, C, p, ##ap ##illa ##ry disease'}"
62,64,Mental Health Programs,{''}
63,65,Are at least 18 years old,{''}
64,66,"Body weight at screening ≥ 50.0 kg and \< 80.0 kg for male, ≥ 40.0 kg and \< 70.0 kg for female.",{''}
65,67,ECOG Performance Status ≤ 1,{''}
66,68,for Adolescent,{''}
67,69,Patients aged 0 to 6 years who have visited the institution for symptoms caused by a traffic accident and have received at least one session of integrative Korean medicine treatment as inpatient or outpatient care.,{''}
68,71,Anyone working at GHSIF,{''}
69,72,Have Type 2 Diabetes,{'Type 2 Di ##abe ##tes'}
70,73,mCRPC with pathological confirmation of adenocarcinoma without small-cell or neuroendocrine features.,"{'m ##CR ##PC, ad, ##eno ##car ##cin ##oma'}"
71,74,All B-ALL patients must be enrolled on APEC14B1 and consented to Eligibility Screening (Part A) prior to treatment and enrollment on AALL1731. APEC 14B1 is not a requirement for B-LLy patients. B-LLy patients may directly enroll on AALL1731.,"{'B - AL ##L, B - LL ##y, B - LL ##y'}"
72,75,"Men or women aged 30 to 85 years (inclusive), at the time of informed consent.",{''}
73,76,"Patients with a confirmed diagnosis of classical familial adenomatous polyposis (FAP) based on colonoscopy, histopathology, and genetic testing.","{'f, ##ami ##lial ad ##eno ##mat ##ous p ##oly ##po ##sis, FA ##P'}"
74,77,"Moderate or severe heart failure, defined as NYHA Class III-IV despite optimal pharmacological heart failure therapy","{'heart failure, heart failure'}"
75,78,Over 18 years,{''}
76,79,Children in Kindergarten (approximate ages 4-9 years),{''}
77,80,\<28 weeks gestation at birth,{''}
78,81,Adult from both sex,{''}
79,82,"Children of either gender aged between 6 months and 5 years, at Baseline/Randomisation (Visit 2) inclusive.",{''}
80,84,Patients with basic type intermittent exotropia,{''}
81,85,Skeletal Class II pattern with ANB angle exceeding 6° and Wits appraisal of 2 mm or more.,{''}
82,86,")Age 18-70 years old (both ends included), both male and female;",{''}
83,87,"Patients undergone nonphysiological reconstruction of the gastrointestinal tract (such as Billroth-II, Roux-en-Y, Child, Whipple reconstruction)","{'Bill ##roth - II - en - Y , Child , W ##hip ##ple'}"
84,88,"Study participant must be ≥18 years of age, at the time of signing the informed consent",{''}
85,90,Aortic Valve Area (AVA) ≥1.0 cm2 ≤ 1.5 cm2 and either mean aortic Pressure Gradient (mPG) of \>25 - \< 40 mmHg or maximum velocity (Vmax) ≥3 ≤4 m/sec in normal flow conditions; or,{''}
86,91,Genetically-defined HeFH,{'He'}
87,92,At least 18 years old,{''}
88,93,HIV positive,{''}
89,94,For human treatment/safety cohort,{''}
90,95,Providing care to a pediatric patient,{''}
91,96,"Has American Joint Committee on Cancer (AJCC) Stage IV, M1D melanoma","{'me, ##lan'}"
92,97,Histologically proven cancer of the head and neck cancer,{'cancer of the head and neck cancer'}
93,98,Patients must be newly diagnosed with histologically-proven hepatoblastoma,"{'he, ##pa ##to ##blast ##oma'}"
94,99,Patients who start NEXAVAR treatment for radioactive iodine-refractory unresectable Differentiated Thyroid Carcinoma (DTC),"{'Different ##iated T ##hy ##roid Car ##cin ##oma, D ##TC'}"
95,100,Diagnosis of AD (as defined by Hanifin and Rajka criteria for AD).,"{'AD, AD'}"
96,101,Total body weight \>= 50 kg and body mass index (BMI) \>=18 kg/m2 and \<=35 kg/m2,{''}
97,102,"Participant must have documented multiple myeloma satisfying the CRAB (calcium elevation, renal insufficiency, anemia and bone abnormalities) criteria, monoclonal plasma cells in the bone marrow greater than or equal to (\>=) 10 percent (%) or presence of a biopsy proven plasmacytoma and measurable disease as defined by any of the following (a) immunoglobulin (Ig) G myeloma (serum monoclonal paraprotein \[M-protein\] level \>=1.0 gram/deciliter \[g/dL\] or urine M-protein level \>=200 milligram\[mg\]/24 hours\[hrs\]; or (b) IgA, IgM, IgD, or IgE multiple myeloma (serum M-protein level \>=0.5 g/dL or urine M-protein level \>=200 mg/24 hrs); or (c) light chain multiple myeloma without measurable disease in serum or urine (serum immunoglobulin free light chain \>=10 mg/dL and abnormal serum immunoglobulin kappa lambda free light chain ratio)","{'multiple my ##elo ##ma, calcium elevation, re, ##nal ins ##uff ##iciency, an ##emia, bone abnormal ##ities, plasma ##cy ##tom ##a G my ##elo, multiple my ##elo ##ma, light chain multiple my ##elo ##ma'}"
98,104,"Signed informed consent, inclusive of release of medical information, and Health Insurance Portability and Accountability Act (HIPAA) documentation.",{''}
99,105,Participants with histologically or cytologically confirmed R/M HNSCC that is considered incurable by local therapies,"{'R / M, H ##NS ##CC'}"
100,106,Treatment naïve patients,{''}
101,107,Participant in SJLIFE and \> 5 years from diagnosis.,{''}
102,108,Presenting (with or without glasses) distance visual acuity of 6/12 or worse in the better-seeing eye;,{''}
103,109,Subject must meet all of the following applicable inclusion criteria to participate in this study,{''}
104,110,"Suitable candidate for intra-cardiac mapping and ablation of atrial arrhythmias including atrial fibrillation, atrial flutter and/or atrial tachycardia","{'at ##rial a ##rr ##hy ##th ##mia, at ##rial fi ##bri ##lla ##tion, at ##rial flutter, at ##rial ta ##chy ##card ##ia'}"
105,111,"Biopsy proven Merkel cell carcinoma which is unresectable or metastatic, stage III or IV",{'Me ##rk ##el cell car ##cin ##oma'}
106,112,Referred to elective (non-emergency) cesarean section,{''}
107,113,Evidence of a personally signed and dated informed consent document indicating that the patient (or a legally acceptable representative) has been informed of all pertinent aspects of the study. Waivers of informed consent for deceased patients will be pursued if permitted by local regulation,{''}
108,114,Participants between ages 12-80,{''}
109,116,to have at least 14 years old,{''}
110,117,Willing and able to provide informed consent prior to start of any study procedures and assessments and must be willing to comply with all study procedures.,{''}
111,118,"Participants must have histologically- or cytologically-confirmed follicular-derived nonanaplastic thyroid cancer that is metastatic and/or unresectable AND harbors a known oncogenic RET gene fusion, performed in a Clinical Laboratory Improvement Amendments (CLIA)-certified or equivalently accredited diagnostic laboratory.","{'f, ##oll ##icular - derived non ##ana ##p ##lastic thy ##roid cancer'}"
112,119,"Any participant presenting for an IUD placement, either for contraception or treatment of abnormal uterine bleeding or to regulate menstrual periods",{'abnormal u ##ter ##ine bleeding'}
113,120,"consecutive patients treated at a single center between April 2018 and July 2023 for malignant brain tumors, including glioma, metastasis, and lymphoma.","{'ma, ##li ##gnant brain tumors, g, ##lio ##ma, meta, l, ##ymph ##oma'}"
114,121,Adult female patients having bilateral mastectomy surgery at University of New Mexico Outpatient Surgical and Imaging Services (OSIS) facility,{''}
115,122,"Participant has a body mass index range of 18.5 to 40.0 kg/m\^2, inclusive and weighs at least 50 kg at screening.",{''}
116,123,African Americans with a confirmed diagnosis of Inflammatory Bowel Disease (IBD),"{'In, ##f ##lam ##mat ##ory Bow ##el Disease, I ##B ##D'}"
117,125,Provision of signed and dated informed consent form,{''}
118,126,Adults aged 18 to 70 years.,{''}
119,127,A woman aged 18 through 45 (inclusive) who is planning a pregnancy or with an already confirmed pregnancy with pregnancy term up to 12 weeks (pregnancy was confirmed by laboratory and/or ultrasound method).,{''}
120,128,Children aged 3 years or older and 7 years and 7 months or younger,{''}
121,129,Infants less than or equal to 37 weeks gestation at birth,{''}
122,130,"Provide informed consent or assent as appropriate and, if \< 18 years of age have a parent or legal guardian provide informed consent",{''}
123,131,Refugees older than 18 years old.,{''}
124,132,perimenopausal or early postmenopausal women aged 45-60 years old,{''}
125,133,students whose caregivers signed informed consents;,{''}
126,135,Meets 2016 revised diagnostic criteria for fibromyalgia (FM),"{'fi ##bro ##my ##al ##gia, FM'}"
127,136,"Female patients,",{''}
128,137,Age range 5-30 years old.,{''}
129,138,Patients,{''}
130,139,Male and female of non-childbearing potential participants with suitable veins for cannulation or repeated venipuncture.,{''}
131,140,"The subject has undergone an abdominal or chest non-contrast CT scan, categorized as follows",{''}
132,142,Adults with bilateral pseudophakia who have been implanted with the LAL in at least one eye and who have completed LDD light treatments,{'bilateral pseudo ##pha ##ki ##a'}
133,143,"According to the Goligher classification in the Chinese guidelines for the diagnosis and treatment of hemorrhoids (2020) , patients who are diagnosed with grade II-III internal hemorrhoids .","{'hem ##or ##r ##ho ##ids, internal hem ##or ##r ##ho ##ids'}"
134,144,Male or Female,{''}
135,145,Adults with bilateral pseudophakia who have been implanted with the LAL+ in at least one eye and who have completed LDD light treatments,{'bilateral pseudo ##pha ##ki ##a'}
136,146,Subject has rheumatoid arthritis (RA) diagnosed according to the 1987 revised ACR criteria for at least 6 months prior to Screening,"{'r, ##he ##uma ##to ##id art ##hr ##itis, RA'}"
137,147,Hemophilia patients with liver cirrhosis caused by HIV/HCV co-infection that fall under the following 1) and 2).,"{'He, ##mo ##phi ##lia, liver c ##ir ##r ##hos ##is, HC'}"
138,148,Histologically/cytologically confirmed adenocarcinoma of the prostate,{'ad ##eno ##car ##cin ##oma of the pro ##state'}
139,149,Age 20-75 years,{''}
140,150,Age ≥18 years old;,{''}
141,151,The subjects who meet all inclusion criteria can be enrolled into the trial,{''}
142,152,Pregnant who is between 28-32 weeks of gestation.,{''}
143,154,Pregnant women in the 3rd trimester of pregnancy (3T) with a normal course of pregnancy up to 39 weeks consulting for the monitoring visit at the Robert-Debré hospital.,{''}
144,155,Agree to comply with study procedures and visit plan. Subject is capable of giving informed consent;,{''}
145,156,The patient met the diagnostic criteria of asthma remission in the Guidelines for prevention and treatment of bronchial asthma；,"{'as ##th ##ma, br ##on ##chia ##l as ##th ##ma'}"
146,157,Selection criteria for in-depth interview subjects,{''}
147,159,Patients must have histologically or cytologically confirmed epithelial endometrial carcinoma; all histologies are accepted; patients with diagnosis of endometrial carcinosarcoma will be enrolled in the exploratory cohort (arm C) and will receive combination of cabozantinib and nivolumab,"{'e ##pit ##hel ##ial end ##ome ##tri ##al car ##cin ##oma, end ##ome ##tri ##al car ##cin ##osa ##rc ##oma'}"
148,160,"severe seizures in neonates or generalized epilepsy or intractable epilepsy in infancy with generalized tonic-clonic seizures,","{'generalized e ##pile ##psy, in ##able e ##pile ##psy, ton ##ic - c ##lon ##ic seizure'}"
149,161,Willing and able to give written informed consent or sign consent forms with a fingerprint.,{''}
150,162,"Patients must have histologically or cytologically confirmed invasive breast carcinoma. We limit the molecular subtype to triple negative (TNBC) and hormone receptor-low and Her2 negative (hormone receptor \[HR\]-low/Her2\[-\]) breast cancer. TNBC is defined as HER2 expression 0 or 1+ on immunohistochemistry (IHC) or non-amplified (defined as HER2/CEP17 ratio \< 2 or copy number \< 6) on fluorescence in situ hybridization (FISH). If HER2 expression is 2+ on IHC, negative HER2 expression must be confirmed by FISH. Pathologic diagnosis of TNBC (negative HER2 status by cytogenetics, \< 1% of cells stained positive for estrogen receptor \[ER\] by IHC, and \< 1% of cells stained positive for progesterone receptor \[PR\] by IHC) (Allison et al., 2020, Wolff et al., 2013). HR-low/Her2(-) is defined as HER2 expression 0 or 1+ on IHC or non-amplified (defined as HER2/CEP17 ratio \< 2 or copy number \< 6) on fluorescence in situ hybridization (FISH). If HER2 expression is 2+ on IHC, negative HER2 expression must be confirmed by FISH. 1-10% of cells stained positive for ER by IHC, and/or 1-10% of cells stained positive for PR by IHC) (Allison et al., 2020, Wolff et al., 2013).","{'invasive breast car ##cin ##oma, triple negative, T negative, breast cancer, T, T'}"
151,163,"Male or female subjects between 28 days and less than 18 years of age, with clinical features that are consistent with a diagnosis of ARPKD.",{'AR ##P ##K ##D'}
152,164,Participants must meet each of the following criteria for enrolment into the study,{''}
153,165,"Having had a stroke for the first time,",{'stroke'}
154,166,female,{''}
155,167,Subjects will include those men and women,{''}
156,168,Male and females aged 18-65 years old,{''}
157,169,subjects \> 6 months and \< 12 years of age；,{''}
158,170,Middle school students studying in school and their parents,{''}
159,171,meet DSM-5 criteria for an SU disorder at the time of assessment at APT or VACHS;,{'S ##U disorder'}
160,172,All participants,{''}
161,174,Age 21-75,{''}
162,175,Adult aged 18-60,{''}
163,176,Patients undergoing primary total knee arthroplasty for osteoarthritis of the knee.,"{'total knee art ##hr ##op, o ##ste ##oar ##th ##rit ##is of the knee'}"
164,177,Age ≥45 years;,{''}
165,178,Participant has a diagnosis of XLMTM resulting from a genetically confirmed mutation in the MTM1 gene based on genetic test reports.,{'X ##LM ##TM'}
166,179,Has histologically or cytologically confirmed melanoma,"{'me, ##lan'}"
167,180,-75 years of age,{''}
168,181,"Metastatic castration-resistant prostate cancer (mCRPC) as defined by Prostate Cancer Working Group 3 (PCWG3) Histologically confirmed adenocarcinoma of the prostate. Adenocarcinoma with small cell or neuroendocrine (NE) features is permitted. However, small cell carcinoma, carcinoid tumor, mixed NE carcinoma, or large cell NE carcinoma is disallowed","{'Met cast ##ration - resistant pro ##state cancer, m ##CR ##PC, Pro, ##state Cancer, ad ##eno ##car ##cin ##oma of the pro ##state, Aden ##oc ##ar ##cin ##oma, ne ##uro ##end ##oc ##rine, small cell car ##cin ##oma, car, ##cin ##oid tumor, mixed NE car ##cin ##oma, large cell NE car ##cin ##oma'}"
169,182,Hereditary Pancreatitis or,{''}
170,183,Newly diagnosed or relapsed cancer diagnosis.,{'cancer'}
171,184,years of age and older (some regional variations to inclusion age exist),{''}
172,185,Participant is ≥ 8 kg and ≤ 21 years of age at the time of informed consent and assent.,{''}
173,186,Voluntary participation in clinical studies.,{''}
174,187,months - 18 years of age at the time of the initial diagnosis.,{''}
175,188,Male Chinese subjects aged ≤ 70 years,{''}
176,189,"Upper age limit of =\< 18 years of age for medullary thyroid carcinoma (MTC), renal cell carcinoma (RCC) and hepatocellular carcinoma (HCC) =\< 30 years for all other diagnoses","{'me ##du ##llar ##y thy ##roid car ##cin ##oma, M ##TC, re, ##nal cell car ##cin ##oma, RC ##C, he, ##pa ##to ##cellular car ##cin ##oma, HC ##C'}"
177,190,Provision of informed consent prior,{''}
178,191,"In order to participate in this study, all subjects must meet ALL of the inclusion criteria described.",{'AL ##L'}
179,192,Meet the ALGS diagnostic criteria;,{'AL ##GS'}
180,194,"Patients \> age 18, seen at the Emergency Department or admitted to the hospital with respiratory symptoms and diagnosed with RSV infection","{'respiratory, RS ##V infection'}"
181,195,Males and females adults aged \> 18 years,{''}
182,196,"Subject is able to verbally confirm understanding of risks, benefits and treatment alternatives of receiving the grafted ligament",{''}
183,197,Depression Trial,{''}
184,198,≥ 6 tender/painful joints; ≥ 6 swollen joints,{''}
185,199,Age 16 years or older (18 years or older \[France and Germany\]); participants age 16 or 17 years must physically have completed puberty;,{''}
186,200,Patients scheduled for corneal endothelial transplantation in one or both eyes,{''}
187,201,Patients with missing at least one maxillary posterior tooth,{''}
188,202,Current DSM-5 PTSD diagnosis,{'PT ##SD'}
189,203,Histologically or cytologically confirmed diagnosis of metastatic Stage IV NSCLC,{'meta Stage IV N ##SC ##LC'}
190,204,Acute Pain Trial,{''}
191,205,All participants,{''}
192,206,"Participant agrees and is able to adhere to the study requirements for the length of the study, including undergoing both aCPET and SHAPE Test.",{''}
193,207,Between the ages of 10 and 18,{''}
194,208,"age ≥18 years,",{''}
195,210,Patient diagnosed with osteoarthritis of the knee.,"{'o, ##ste ##oar ##th ##rit ##is of the knee'}"
196,211,"Inpatients with Diagnostic and Statistical Manual of Mental Disorders 4th Edition Text Revision (DSM-IV TR) diagnosis of schizophrenia, schizophreniform or schizoaffective disorder","{'s ##chi ##zophrenia, s ##chi ##zo ##ph ##ren ##iform, s ##chi ##zo ##af ##fect ##ive disorder'}"
197,212,"Inclusion criteria Healthy non-treatment seeking adults (age 18 to 60, N = 40) who report",{''}
198,213,Infertile patients aged 20-42 years,{'##fer'}
199,215,Adolescents with a clinical diagnosis of T1D,{'T ##1 ##D'}
200,216,"All men (age 45.0 - 75.0 years), regardless of race, presenting to a practicing urologist with symptoms that would lead to an evaluation for prostate cancer and who are scheduled to receive a needle biopsy of the prostate","{'pro, ##state cancer'}"
201,217,Confirmed diagnosis of 5q-autosomal recessive SMA,{''}
202,218,Born between 28 - 36+6 weeks of gestation,{''}
203,219,"History of ongoing spinal cord compression,",{'spinal cord compression'}
204,220,"Male and females, age 18 to 70.",{''}
205,221,Written informed consent and HIPAA authorization for release of personal health information prior to registration. Note HIPAA authorization may be included in the informed consent or obtained separately.,{''}
206,222,Northgate Gonzalez Market customer who currently receives SNAP benefits and has a valid EBT card,{''}
207,223,"i. Outpatient, male or female subjects of any race, and at least 12 years of age or older.",{''}
208,224,Participants in all parts of the study must have measurable disease per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.,{'Solid Tu ##mor'}
209,225,"Histologically or cytologically confirmed adenocarcinoma of the prostate without neuroendocrine differentiation or small cell features with high risk for development of metastases, defined as prostate-specific antigen doubling time (PSADT) less than or equal to (\<=) 10 months. PSADT is calculated using at least 3 prostate-specific antigen (PSA) values obtained during continuous ADT (androgen deprivation therapy)",{'ad ##eno ##car ##cin ##oma of the pro ##state'}
210,226,Participant has a body mass index range of 18.5 to 32.0 kg/m\^2 inclusive and weighs at least 50 kg at screening.,{''}
211,228,Healthy participants (ASA I) age six to nine years with diagnosis of TMD in the mixed dentition phase and with jaw deviation and/or deflection. Deviation is defined as the jaw following a deviated path to one side during opening. Deflection is defined as the jaw following a deviated path without returning to the midline when the mouth is fully opened.,{'T ##MD'}
212,229,"Subjects must have histologically confirmed non-Hodgkin lymphoma relapsed after 2 or more lines of therapy or disease refractory to chemotherapy (defined as progressive disease or stable disease lasting ≤6 months, as best response to most recent chemotherapy regimen; or disease progression or recurrence ≤12 months after prior autologous stem cell transplantation (ASCT).",{'non - Ho ##d ##g ##kin l ##ymph ##oma'}
213,230,"Participants, male or female, must be 18 to 65 years of age, inclusive, at the time of signing the ICD.",{''}
214,231,Age \>= 18 years of age,{''}
215,232,"Have a diagnosis, per the world health organization (WHO) 2022 criteria, of (a) Acute myeloid leukemia (AML) or (b) Moderate high, high, or very high-risk myelodysplastic neoplasms (MDS) per Molecular International Prognostic Scoring System (IPSS-M)","{'A, ##cute my ##elo ##id le ##uke ##mia, AM ##L, my, ##elo ##dy ##sp ##lastic neo ##p ##las ##ms, MD ##S'}"
216,233,All subjects,{''}
217,234,All subjects voluntarily participated in the study and signed informed consent.,{''}
218,235,"Either gender,",{''}
219,237,Diagnosed with MG at least 3 months (90 days) prior to the date of the Screening Visit. Confirmation of MG must be made via the following,"{'MG, MG'}"
220,239,years of age or older,{''}
221,241,"Must be healthy as confirmed by medical history, physical examination, vital signs, and clinical laboratory tests performed at screening",{''}
222,242,"years or older,",{''}
223,243,Body Mass Index (BMI) is ≥ 18.0 to ≤ 29.9 kg/m\^2 after rounding to the tenth decimal at screening.,{''}
224,245,Participant having freely given his oral agreement.,{''}
225,246,"Persons with a progranulin gene mutation and at risk of developing FTD symptoms as evidenced by a biomarker, or persons with a progranulin gene mutation and diagnosed with FTD.","{'F ##T ##D, F ##T ##D'}"
226,247,Patients enrolled in the VIOLET parent study,{''}
227,248,Age 16-22 inclusive recruited from outpatient pediatric clinic visit.,{''}
228,249,Adult (ages ≥18) subjects with NETs by local pathology.,{'NE ##T'}
229,250,"Preschool children aged 3-6 years,",{''}
230,251,Male or female subjects 2 to ≤ 17 years of age with confirmed or possible CIDP.,"{'C, ##ID ##P'}"
231,252,Provision of written informed consent,{''}
232,253,Is HIV-1 positive with plasma HIV-1 RNA ≥500 copies/mL at screening,{''}
233,254,Adults 18\~65 years of age,{''}
234,255,Express consent to participate in the study,{''}
235,256,Adenocarcinoma of the prostate,{'Aden ##oc ##ar ##cin ##oma of the pro ##state'}
236,257,"Children aged 2-2.5 years, who live in Tower Hamlets and whose caregiver(s) are willing to provide written informed consent",{''}
237,258,Written informed consent and HIPAA authorization for release of personal health information. NOTE HIPAA authorization may be included in the informed consent or obtained separately.,{''}
238,259,days- \< 22 years (at time of study enrollment),{''}
239,260,"Body weight at screening ≥ 50.0 kg and \< 80.0 kg for male, ≥ 40.0 kg and \< 70.0 kg for female.",{''}
240,261,Women aged 40-75 (inclusive).,{''}
241,263,Newborns admitted to 17 units in 8 provinces from February 2021 to November 2023;,{''}
242,264,"HCT recipients over 12 years of age within the first 7 days of initial treatment of high-risk aGVHD, defined as",{'a ##G ##V ##HD'}
243,265,"Participants must have histologically or cytologically confirmed HER2-positive disease by local pathology, defined as immunohistochemistry (IHC) 3+ or amplification by FISH (HER2/CEP17 ratio ≥2 or an average of ≥6 HER2 gene copies per nucleus) AND confirmed by Central Pathology Review (Dr. Deborah Dillon at Brigham and Women's Hospital, Boston, MA) prior to patient being registered to begin protocol therapy. See section 3.4. http//ascopubs.org/doi/full/10.1200/jco.2013.50.9984",{''}
244,266,Informed consent obtained before any trial-related activity.,{''}
245,267,Self-identify as Latino,{''}
246,268,Single-segment thoracic or lumbar hemivertebrae scoliosis diagnosed by X-ray and CT.,{'Single - segment th ##ora ##ci ##c or l ##umba ##r hem ##iver ##te ##brae s ##co ##lio ##sis'}
247,269,to have at least 14 years old,{''}
248,270,"Patients and their relatives have provided informed consent,",{''}
249,271,"The subject must be able to fully understood the purpose, nature, method, and possible adverse effects of the study, must be able to voluntarily participate in the study and voluntarily able to provide the written informed consent form (ICF).",{''}
250,272,Histological confirmation of hematological malignancies,{'hem ##ato ##logical ma ##li'}
251,275,"Patients over 18 years of age,",{''}
252,276,aged ≥18 years,{''}
253,277,"Metastasized or locally advanced incurable triple negative breast cancer; patients with stage IV at diagnosis are eligible as well. If the primary lesion is the only measurable lesion according to RECIST criteria, every locoregional treatment must be mentioned to the investigators.",{'Met triple negative breast cancer'}
254,278,Patients;,{''}
255,279,Patients aged between 18 and 50 who have previously been diagnosed with traumatic meniscal tear through magnetic resonance imaging will be included in the study,{'traumatic men ##is ##cal tear'}
256,280,Their chronological age will be 5-7yeasr. 2. All children will receive prophylaxis therapy. 3. They will able to stand and walk independently. 4. They will be able to follow instructions during evaluation and treatment.,{''}
257,281,Patient has signed the Informed Consent (ICF) prior to any screening procedures being performed and is able to comply with protocol requirements,{''}
258,282,The study will be conducted in patients under 18 years of age with American Society of Anesthesiologists (ASA) I-II.,{''}
259,283,Pediatric patients (age ≤18 years) with the diagnosis of hypoplastic left heart syndrome who underwent the Norwood palliation at the IRCCS Policlinico San Donato.,"{'h, ##y ##pop ##lastic left heart syndrome'}"
